,ticker,last_date_in_db,last_date_retrieved,records_retrieved,records_updated,status,loop_time,capture_date
66,ALIT,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
67,ALK,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
68,ALL,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
69,ALLY,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
70,ALV,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
71,AM,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
72,AMAT,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
73,AMCR,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
74,AMCX,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
75,AMD,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
76,AME,2023-11-30,2024-01-12,62,20,succesful_update,1.1,2024-01-15
77,AMGN,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
78,AMH,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
79,AMKR,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
80,AMP,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
81,AMT,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
82,AMZN,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
83,AN,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
84,ANDE,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
85,ANET,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
86,ANSS,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
87,ANTM,2022-06-27,1980-12-31,0,0,failed_no_data,0.84,2024-01-15
88,AOS,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
89,APA,2023-11-30,2024-01-12,62,20,succesful_update,1.14,2024-01-15
90,APA,2023-11-30,1980-12-31,62,20,failed_push_to_db,1.13,2024-01-15
91,APD,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
92,APH,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
93,APLE,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
94,APO,2023-11-30,2024-01-12,62,20,succesful_update,1.15,2024-01-15
95,APO,2023-11-30,1980-12-31,62,20,failed_push_to_db,1.1,2024-01-15
96,APTV,2023-11-30,2024-01-12,62,20,succesful_update,1.18,2024-01-15
97,AR,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
98,ARE,2023-11-30,2024-01-12,62,20,succesful_update,1.14,2024-01-15
99,ARES,2023-11-30,2024-01-12,62,20,succesful_update,1.13,2024-01-15
100,ARI,2023-11-30,2024-01-12,62,20,succesful_update,1.13,2024-01-15
101,ARMK,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
102,ARNC,2023-08-17,1980-12-31,0,0,failed_no_data,0.95,2024-01-15
103,ARNC,2023-08-17,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
104,ARR,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
105,ARW,2023-11-30,2024-01-12,62,20,succesful_update,1.11,2024-01-15
106,ASB,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
107,ASGN,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
108,ASH,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
109,ATGE,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
110,ATH,2021-12-31,1980-12-31,0,0,failed_no_data,1.65,2024-01-15
111,ATI,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
112,ATO,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
113,ATR,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
114,ATSG,2023-11-30,2024-01-12,62,20,succesful_update,1.13,2024-01-15
115,ATVI,2023-10-12,1980-12-31,0,0,failed_no_data,1.02,2024-01-15
116,AUB,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
117,AUBAP,2023-01-17,1980-12-31,0,0,failed_no_data,0.97,2024-01-15
118,AVA,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
119,AVB,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
120,AVGO,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
121,AVGOP,2022-09-29,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
122,AVNT,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
123,AVT,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
124,AVY,2023-11-30,2024-01-12,62,20,succesful_update,1.12,2024-01-15
125,AWK,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
126,AXP,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
127,AXS,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
128,AXTA,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
129,AZTA,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
130,BA,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
131,BAC,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
132,BAH,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
133,BALY,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
134,BATRA,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
135,BATRK,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
136,BAX,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
137,BBY,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
138,BC,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
139,BCC,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
140,BCEI,2021-10-01,1980-12-31,0,0,failed_no_data,0.82,2024-01-15
141,BDN,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
142,BDX,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
143,BDXB,2023-05-31,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
144,BECN,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
145,BEN,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
146,BERY,2023-11-30,2024-01-12,62,20,succesful_update,1.65,2024-01-15
147,BFAM,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
148,BFH,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
149,BG,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
150,BGNE,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
151,BGS,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
152,BHC,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
153,BHF,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
154,BHFAL,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
155,BHFAM,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
156,BHFAN,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
157,BHFAO,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
158,BHFAP,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
159,BIIB,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
160,BILL,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
161,BIO,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
162,BIOS,2023-10-06,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
163,BK,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
164,BKH,2023-11-30,2024-01-12,62,20,succesful_update,1.14,2024-01-15
165,BKI,2023-09-01,1980-12-31,0,0,failed_no_data,0.95,2024-01-15
166,BKNG,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
167,BKR,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
168,BKU,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
169,BLD,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
170,BLDR,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
171,BLK,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
172,BLL,2022-05-09,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
173,BMRN,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
174,BMY,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
175,BNL,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
176,BOKF,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
177,BPOP,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
178,BPOPM,2023-11-30,2024-01-11,50,16,succesful_update,1.24,2024-01-15
179,BR,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
180,BRKS,2021-11-30,1980-12-31,0,0,failed_no_data,0.82,2024-01-15
181,BRO,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
182,BRSP,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
183,BRX,2023-11-30,2024-01-12,62,20,succesful_update,1.13,2024-01-15
184,BSX,2023-11-30,2024-01-12,62,20,succesful_update,1.12,2024-01-15
185,BURL,2023-11-30,2024-01-12,62,20,succesful_update,1.23,2024-01-15
186,BWA,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
187,BX,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
188,BXMT,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
189,BXP,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
190,BYD,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
191,C,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
192,CABO,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
193,CACI,2023-11-30,2024-01-12,62,20,succesful_update,1.14,2024-01-15
194,CAG,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
195,CAH,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
196,CARR,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
197,CASY,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
198,CAT,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
199,CATY,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
200,CB,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
201,CBRE,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
202,CBSH,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
203,CBT,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
204,CC,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
205,CCI,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
206,CCK,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
207,CCL,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
208,CCS,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
209,CCZ,2023-11-29,2023-12-28,14,9,succesful_update,0.99,2024-01-15
210,CDAY,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
211,CDEV,2022-01-31,1980-12-31,0,0,failed_no_data,0.84,2024-01-15
212,CDNS,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
213,CDW,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
214,CE,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
215,CENT,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
216,CENTA,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
217,CEQP,2023-11-02,2023-11-02,14,0,succesful_update,0.97,2024-01-15
218,CF,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
219,CFG,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
220,CFR,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
221,CFX,2022-02-28,1980-12-31,0,0,failed_no_data,0.82,2024-01-15
222,CFXA,2022-01-14,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
223,CG,2023-11-30,2024-01-12,62,20,succesful_update,1.21,2024-01-15
224,CGABL,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
225,CHD,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
226,CHK,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
227,CHKEZ,2023-11-22,2024-01-11,16,2,succesful_update,1.03,2024-01-15
228,CHRW,2023-11-30,2024-01-12,62,20,succesful_update,1.11,2024-01-15
229,CHTR,2023-11-30,2024-01-12,62,20,succesful_update,1.32,2024-01-15
230,CHX,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
231,CI,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
232,CIEN,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
233,CIM,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
234,CINF,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
235,CL,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
236,CLF,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
237,CLH,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
238,CLI,2021-11-30,1980-12-31,0,0,failed_no_data,0.82,2024-01-15
239,CLNC,2021-11-30,1980-12-31,0,0,failed_no_data,0.82,2024-01-15
240,CLNY,2021-06-02,1980-12-31,0,0,failed_no_data,0.84,2024-01-15
241,CLR,2022-11-22,1980-12-31,0,0,failed_no_data,0.98,2024-01-15
242,CLVT,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
243,CLX,2023-11-30,2024-01-12,62,20,succesful_update,1.1,2024-01-15
244,CMA,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
245,CMCSA,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
246,CME,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
247,CMG,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
248,CMI,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
249,CMS,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
250,CMSA,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
251,CMSC,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
252,CMSD,2023-11-30,2024-01-12,62,20,succesful_update,1.23,2024-01-15
253,CNA,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
254,CNC,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
255,CNDT,2023-11-30,2024-01-12,62,20,succesful_update,1.16,2024-01-15
